avgwordsen|avgchrword|avgsylword|nounperc|verbperc|pronperc|adjperc|conjperc|entropy|surprisal
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 6 - Lit-Classic.Com.txt:11.30592|5.3849|2.39594|0.27754|0.15854|0.09588|0.10506|0.07783|10.47741|24.8773
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 7 - Lit-Classic.Com.txt:12.38324|5.1428|2.27079|0.24686|0.18162|0.11104|0.0913|0.08515|10.03616|23.04003
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 8 - Lit-Classic.Com.txt:12.13573|5.09342|2.23662|0.25488|0.17936|0.1039|0.08707|0.08477|10.23255|24.11468
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 9 - Lit-Classic.Com.txt:10.98729|5.11993|2.25484|0.27379|0.17906|0.09506|0.08651|0.08142|10.31539|24.78839
Bashnia Piepla - Dzhordzh Martin.txt:12.504|5.1342|2.2669|0.24328|0.1785|0.12236|0.09645|0.08525|9.01028|23.74934
Bitva koroliei - Dzhordzh Martin.txt:9.91888|4.97605|2.16605|0.2833|0.18227|0.10161|0.09332|0.08093|10.2352|23.51242
Bor_ba chieloviechieskogho sierdtsa s samim soboi - Dzhordzh Martin.txt:16.36638|5.5823|2.5088|0.33079|0.12852|0.06795|0.12826|0.08428|9.12232|22.43269
Buria miechiei - Dzhordzh Martin.txt:9.88723|4.95668|2.15993|0.28236|0.17984|0.10477|0.09046|0.08094|10.23927|22.69931
Chieloviek s miasnoi fabriki - Dzhordzh Martin.txt:10.75251|5.22631|2.26874|0.2415|0.19675|0.1124|0.09604|0.08646|9.04216|23.60129
Chieloviek-v-formie-ghrushi - Dzhordzh Martin.txt:8.59709|5.2917|2.32021|0.24472|0.21491|0.12208|0.08831|0.0716|9.0941|23.27199
Chietyriekhtsvietnyi mal_chik-fanat - Dzhordzh Martin.txt:17.28846|5.51835|2.44567|0.3079|0.15172|0.07564|0.11079|0.0772|9.11596|23.34234
Dikiie karty - Dzhordzh Martin.txt:11.1573|5.35006|2.36026|0.2731|0.18057|0.09642|0.09522|0.07217|10.49659|25.49629
Dikiie karty. Knigha 6. Tuz v trudnom polozhienii - Dzhordzh Martin.txt:8.37753|5.33235|2.32112|0.27531|0.19797|0.10946|0.08666|0.06867|10.21516|24.69931
Dorogha v San-Brieta - Dzhordzh Martin.txt:9.8862|5.30272|2.34299|0.23488|0.18614|0.10507|0.08793|0.08107|8.89942|23.06346
Gibridy i uzhasy - Dzhordzh Martin.txt:17.75393|5.4506|2.45039|0.30109|0.13713|0.07874|0.11855|0.08552|8.93041|22.63023
Gieroi - Dzhordzh Martin.txt:9.51587|5.52099|2.44931|0.27328|0.18849|0.08646|0.10509|0.07061|9.07232|23.15938
